time,regime,temperature_C,wind_speed_ms,illuminance_lux,precipitation_mm,elec_vmin,elec_vmax,elec_vavg,elec_line_loading_max,elec_line_loading_top1,elec_line_loading_top2,elec_line_loading_top3,elec_vmax_nonslack,elec_line_i_ka_max,elec_p_loss_mw,elec_soc_1,elec_soc_2,elec_soc_3,elec_soc_4,elec_soc_5,elec_any_violate,elec_violate_v,elec_violate_line,yhat_ess1_up,yhat_ess1_down,yhat_ess2_up,yhat_ess2_down,yhat_ess3_up,yhat_ess3_down,yhat_ess4_up,yhat_ess4_down,yhat_ess5_up,yhat_ess5_down,yhat_sop1_fwd,yhat_sop1_rev,yhat_sop2_fwd,yhat_sop2_rev,yhat_pv1,yhat_pv2,yhat_pv3,yhat_pv4,yhat_pv5,yhat_pv6,yhat_wt1,yhat_wt2,yhat_wt3,yhat_wt4,yhat_wt5,yhat_wt6
2024-07-01 00:00:00+08:00,heavy_rain,33.3,6.87,0,2.2,0.952515469,1,0.976015941,74.14421208,74.14421208,65.08317125,44.15193683,1,0.177946109,0.177082428,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0.25,0,0,0,0,1,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 01:00:00+08:00,heavy_rain,30.29,5.78,0,3.26,0.954490819,1,0.977163734,72.87782459,72.87782459,63.9996381,43.36881862,1,0.174906779,0.172736159,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 02:00:00+08:00,heavy_rain,29.55,6.66,0,4.77,0.955269723,1,0.977670824,72.16703018,72.16703018,63.39630813,42.87721664,1,0.173200872,0.170123018,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0.375,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 03:00:00+08:00,heavy_rain,26.83,8.06,0,39.82,0.957956498,1,0.979400908,69.81179367,69.81179367,61.40772885,41.26711921,1,0.167548305,0.161755344,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 04:00:00+08:00,heavy_rain,26.45,7.65,0,8.41,0.958008196,1,0.979394756,69.92857832,69.92857832,61.50654899,41.3756732,1,0.167828588,0.16227983,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0.75,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 05:00:00+08:00,heavy_rain,26.2,5.76,0,9.76,0.957557454,1,0.979019223,70.66998946,70.66998946,62.13120541,41.94366892,1,0.169607975,0.165137374,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0.625,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 06:00:00+08:00,heavy_rain,25.51,6.69,1335,10.27,0.953754772,1,0.975993651,73.84920178,73.84920178,64.52805297,43.14563684,1,0.177238084,0.172689288,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,1,0,0.875,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 07:00:00+08:00,heavy_rain,23.58,2.82,8678,9.77,0.973590723,1,0.984317176,61.81340064,61.81340064,52.59868444,30.94940402,1,0.148352162,0.125858367,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 08:00:00+08:00,heavy_rain,26.07,7.53,12470,8.43,0.9708665,1,0.983330154,61.66843129,61.66843129,51.6501813,28.57631225,1,0.148004235,0.125110094,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.625,0,0,0,0,0,0,0,0,0,0,0,0
2024-07-01 09:00:00+08:00,heavy_rain,26.01,7.24,15637,6.69,0.974427108,1,0.986600576,56.78631728,56.78631728,46.80091061,24.88646194,1,0.136287161,0.116122736,50,50,50,50,50,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0
