Hour,Timestamp,Node_0,Node_1,Node_2,Node_3,Node_4,Node_5,Node_6,Node_7,Node_8,Node_9,Node_10,Node_11,Node_12,Node_13,Node_14,Node_15,Node_16,Node_17,Node_18,Node_19,Node_20,Node_21,Node_22,Node_23,Node_24,Node_25,Node_26,Node_27,Node_28,Node_29,Node_30,Node_31,Node_32
0,2025-01-01 00:00:00,1.0,0.9994314,0.9988628,0.9982943,0.9977259,0.9971576,0.9965893,0.9960118,0.9954249,0.99481934,0.9941951,0.9935615,0.9929186,0.9923627,0.99186486,0.9914527,0.99115664,0.9909286,0.99070054,0.99047256,0.9902445,0.9900165,0.98978853,0.9895606,0.9893326,0.9891047,0.98887676,0.9886489,0.98842096,0.9881931,0.9879652,0.98773736,0.98750955
1,2025-01-01 01:00:00,1.0,0.9996976,0.9993953,0.999093,0.9987907,0.9984884,0.9981862,0.997884,0.9975817,0.9972795,0.9969774,0.9966752,0.99637306,0.99609333,0.9958433,0.9955933,0.9953776,0.99516195,0.9949463,0.99473065,0.994515,0.9942994,0.99408376,0.9938682,0.9936526,0.99343705,0.99322146,0.99300593,0.9927904,0.9925749,0.9923594,0.99214387,0.9919284
2,2025-01-01 02:00:00,1.0,0.9998562,0.9997124,0.9995686,0.9994248,0.99928105,0.9991372,0.99898523,0.998825,0.9986483,0.9984551,0.9982537,0.9980441,0.99783444,0.9976249,0.99741524,0.9972057,0.9969961,0.99678653,0.99657696,0.9963674,0.9961579,0.9959484,0.99573886,0.99552935,0.99531984,0.9951104,0.99490094,0.9946915,0.99448204,0.9942726,0.9940632,0.99385375
3,2025-01-01 03:00:00,1.0,0.99980503,0.99961,0.99941504,0.99922013,0.99902517,0.9988302,0.99863416,0.9984369,0.9982375,0.9980357,0.99783283,0.9976288,0.9974248,0.99722075,0.9970168,0.9968128,0.9966088,0.9964049,0.9962009,0.99599695,0.99579304,0.99558914,0.9953852,0.9951813,0.9949774,0.99477357,0.9945697,0.9943659,0.994162,0.9939582,0.9937543,0.99355054
4,2025-01-01 04:00:00,1.0,0.9998061,0.9996122,0.9994183,0.9992245,0.99903065,0.99883676,0.9986424,0.9984474,0.9982513,0.99805415,0.9978564,0.997658,0.9974597,0.9972614,0.9970631,0.99686486,0.99666655,0.9964683,0.99627006,0.9960718,0.9958736,0.9956754,0.99547714,0.99527895,0.99508077,0.9948826,0.9946844,0.9944862,0.9942881,0.99408996,0.99389184,0.9936937
5,2025-01-01 05:00:00,1.0,0.9997602,0.9995204,0.9992807,0.99904096,0.99880123,0.9985615,0.9983198,0.99807614,0.99782854,0.997577,0.99732345,0.9970679,0.99681246,0.99655694,0.99630153,0.99604607,0.99579066,0.99553525,0.99527985,0.99502444,0.9947691,0.99451375,0.99425846,0.9940031,0.99374783,0.99349254,0.9932373,0.9929821,0.99272686,0.99247164,0.99221647,0.9919613
6,2025-01-01 06:00:00,1.0,1.0001184,1.0002307,1.0003366,1.0004402,1.0005413,1.0006386,1.0007246,1.0007988,1.0008503,1.0008787,1.0008956,1.0009011,1.0008203,1.0006821,1.0005438,1.0002906,0.9999224,0.9995542,0.9991861,0.998818,0.9984499,0.9980819,0.9977139,0.9973459,0.99697804,0.9966101,0.9962423,0.99587446,0.99550664,0.9951389,0.9947712,0.9944035
7,2025-01-01 07:00:00,1.0,1.0000455,1.0000899,1.0001329,1.0001755,1.0002176,1.0002588,1.0002981,1.0003357,1.0003693,1.0003991,1.000427,1.0004529,1.0004013,1.0002979,1.0000507,0.99969995,0.99924576,0.9987916,0.99833745,0.9978834,0.9974294,0.99697536,0.9965215,0.9960676,0.9956138,0.99516004,0.99470633,0.9942527,0.9937991,0.99334556,0.9928921,0.9924387
8,2025-01-01 08:00:00,1.0,0.99951017,0.9990039,0.998481,0.99795157,0.99741554,0.9968697,0.9963238,0.9957781,0.9952324,0.99468684,0.9941413,0.99359584,0.9930505,0.9925052,0.9921049,0.9917046,0.99130434,0.99090415,0.99050397,0.99010384,0.9897038,0.9893037,0.9889037,0.98850375,0.98810387,0.987704,0.98730415,0.9869043,0.9865046,0.9861049,0.9857052,0.9853056
9,2025-01-01 09:00:00,1.0,0.99937254,0.99872494,0.9980572,0.9973814,0.99669766,0.9960018,0.9953014,0.99459654,0.9938824,0.9931591,0.9924312,0.99169886,0.9910536,0.9904665,0.9898951,0.9894353,0.9890919,0.98874843,0.98840505,0.98806167,0.9877183,0.987375,0.9870317,0.98668844,0.98634523,0.986002,0.9856589,0.98531574,0.98497266,0.9846296,0.98428655,0.9839435
