Hour,Min_Voltage,Max_Voltage,Min_Node,Max_Node,Violation_Count,Avg_Voltage
0,0.9884423,1.0,32,0,0,0.9950195
1,0.98583096,1.0,32,0,0,0.9930955
2,0.9850423,1.0,32,0,0,0.992524
3,0.9850423,1.0,32,0,0,0.992524
4,0.9850423,1.0,32,0,0,0.992524
5,0.9850423,1.0,32,0,0,0.992524
6,0.9850423,1.0,32,0,0,0.992524
7,0.9850423,1.0,32,0,0,0.992524
8,0.9850423,1.0,32,0,0,0.992524
9,0.9850423,1.0,32,0,0,0.992524
10,0.9850423,1.0,32,0,0,0.992524
11,0.9850423,1.0,32,0,0,0.992524
12,0.9850423,1.0,32,0,0,0.992524
13,0.9850423,1.0,32,0,0,0.992524
14,0.9850423,1.0,32,0,0,0.992524
15,0.9850423,1.0,32,0,0,0.992524
16,0.9850423,1.0,32,0,0,0.992524
17,0.9850423,1.0,32,0,0,0.992524
18,0.9850423,1.0,32,0,0,0.992524
19,0.9850423,1.0,32,0,0,0.992524
20,0.9850423,1.0,32,0,0,0.992524
21,0.9850423,1.0,32,0,0,0.992524
22,0.9850423,1.0,32,0,0,0.992524
23,0.9850423,1.0,32,0,0,0.992524
